Sex,Age,PIT_Num,Species,T_ID
F,-,115127185A,Cp,299
F,6,115127332A,Cp,300
F,8+,115127332A,Cp,301
F,9+,115127332A,Cp,302
F,,115127332A,Cp,303
F,W,115128651A,Cp,304
F,,115129696A,Cp,305
F,W,115129696A,Cp,306
F,A,115129696A,Cp,307
F,10+,115131333A,Cp,308
F,9+,115132330A,Cp,309
F,10+,115132330A,Cp,310
F,-,115132330A,Cp,311
F,8+,115132330A,Cp,312
F,W,115132627A,Cp,313
M,,115133572A,Cp,314
M,W,115133572A,Cp,315
M,worn,115136154A,Cp,316
M,5+,115136154A,Cp,317
M,worn,115136164A,Cp,318
M,A,115136164A,Cp,319
M,W,115136164A,Cp,320
M,,115136761A,Cp,321
M,W,115136761A,Cp,322
M,A,115136761A,Cp,323
M,W,115137326A,Cp,324
M,,115137326A,Cp,325
M,10,115137326A,Cp,326
M,W,115137451A,Cp,327
M,A,115137451A,Cp,328
M,,115137451A,Cp,329
F,,115138535A,Cp,330
F,7,115138535A,Cp,331
F,W,115138535A,Cp,332
F,10+,115138535A,Cp,333
F,8+,115138535A,Cp,334
M,A,115138535A,Cp,335
M,,115139211A,Cp,336
M,W,115139211A,Cp,337
M,6+,115139211A,Cp,338
M,W,115139480A,Cp,339
?,W,115144550A,Cp,340
M,,115144550A,Cp,341
F,,115144550A,Cp,342
F,11+,115146344A,Cp,343
F,10+,115146344A,Cp,344
F,,115146344A,Cp,345
F,W,115147237A,Cp,346
F,A,115147237A,Cp,347
M,,115147237A,Cp,348
F,,115147237A,Cp,349
M,W,115147330A,Cp,350
M,,115147330A,Cp,351
F,W,115148534A,Cp,352
F,-,115148534A,Cp,353
M,A,115148534A,Cp,354
F,A,115148534A,Cp,355
F,,115148534A,Cp,356
F,10-15,115148667A,Css,357
M,,115148667A,Css,358
F,18,115531656A,Css,359
F,worn,115531656A,Css,360
,,115531656A,Css,361
F,,125224240A,Cp,362
F,,125231135A,Cp,363
M,,125234710A,Css,364
M,,125239272A,Cp,365
F,,125244765A,Css,366
M,,125246540A,Css,367
